Rank,Language,Family,L1 ,L1 Rank,L2 ,Total
1,English,Indo-European,370,3,898.4,1268
2,Mandarin Chinese,Sino-Tibetan,921,1,198.7,1120
3,Hindi,Indo-European,342,4,295.3,637
4,Spanish,Indo-European,463,2,74.9,538
5,French,Indo-European,77.3,17,199.3,277
6,Arabic,Afro-Asiatic,0,0,274,274
7,Bengali,Indo-European,228,5,36.8,265
8,Russian,Indo-European,154,7,104.3,258
9,Portuguese,Indo-European,228,6,24.2,252
10,Indonesian,Austronesian,43.6,0,155.4,199
11,Urdu,Indo-European,69,20,101.6,171
12,German,Indo-European,75.5,19,56.1,132
13,Japanese,Japonic,126,8,0.1215,126
14,Swahili,Niger¨CCongo,0,0,82.3,99
15,Marathi,Indo-European,83.1,10,12.2,95
16,Telugu,Dravidian,82.4,12,11,93
17,Turkish,Turkic,79.5,14,5.7,85
18,Yue Chinese,Sino-Tibetan,84.5,9,0.402,85
19,Tamil,Dravidian,77.8,16,6,84
20,Punjabi,Indo-European,82.8,11,0,83
21,Wu Chinese,Sino-Tibetan,81.7,13,0.063,82
22,Korean,Koreanic,79.4,15,0,79
23,Vietnamese,Austroasiatic,76,18,1,77
24,Hausa,Afro-Asiatic,0,0,25,73
25,Javanese,Austronesian,68.3,21,0,68
26,Egyptian Spoken Arabic,Afro-Asiatic,67.8,22,0,68
27,Italian,Indo-European,64.6,23,3.1,68
28,Gujarati,Indo-European,56.5,24,4.2,61
29,Thai,Kra¨CDai,0,0,40,61
30,Amharic,Afro-Asiatic,0,0,0,57
31,Kannada,Dravidian,0,0,12.9,56
32,Persian,Indo-European,55,25,0,55
33,Bhojpuri,Indo-European,52.2,26,0.16,52
34,Min Nan Chinese,Sino-Tibetan,48.2,0,0.387,49
35,Jinyu Chinese,Sino-Tibetan,47.1,0,0,47
36,Filipino,Austronesian,0,0,45,45
37,Nigerian Pidgin,English Creole,0,0,0,45
