years,total_users
2015,210.0
2016,169.5
2017,129.0
2018,151.0
2019,132.1
2020,132.0
2021,133.64560981058142
2022,124.24632933062601
2023,125.18325079333506
2024,121.48189848403774
2025,117.41439281222345
2026,116.19586882329898
2027,112.4739832211556
2028,109.99137572211153
2029,107.67808739625893
2030,104.72862072497205
2031,102.48076976375097
2032,99.99610863092238
2033,97.54072464010774
2034,95.31471005117056
2035,92.98169091856559
2036,90.77494837384435
2037,88.62640807449883
2038,86.48451543895055
2039,84.43201174384623
2040,82.40910970360302
2041,80.4314619193003
2042,78.51062481140107
2043,76.62457184307985
2044,74.78697379768701
2045,72.99265248452824
2046,71.23748052312025
2047,69.52576286466764
2048,67.85289749257643
2049,66.21902489575596
2050,64.62404845643626
2051,63.0657859065918
2052,61.54430830513766
2053,60.0585237831598
2054,58.60742296796801
2055,57.19054127992499
2056,55.806872529223874
2057,54.45572334721105
2058,53.13640110661387
2059,51.84809772547383
2060,50.59016111443917
2061,49.361880919471204
2062,48.16256617711958
2063,46.9915739848135
2064,45.84824115399729
2065,44.731937424523174
2066,43.64204564024087
2067,42.57795418474749
2068,41.53907370830904
2069,40.52482344063493
