years,total_users
2015,84.0
2016,84.0
2017,84.0
2018,84.3
2019,68.2
2020,68.0
2021,61.42129688818292
2022,54.46712647945888
2023,52.170475898727005
2024,46.43567070358487
2025,42.75708044581549
2026,39.609604025305934
2027,35.7040456587958
2028,33.025759935803855
2029,30.17589240914704
2030,27.50539984137768
2031,25.311377466623988
2032,23.075483582931223
2033,21.124294589931672
2034,19.350936155719527
2035,17.662918706986737
2036,16.17264798652871
2037,14.783402519260562
2038,13.507528265364993
2039,12.355099880987392
2040,11.286127864527703
2041,10.313685147459054
2042,9.424615722918611
2043,8.607112415711649
2044,7.8626154950599885
2045,7.18004692225074
2046,6.555492035909483
2047,5.985300338295171
2048,5.46305924423326
2049,4.98597206986448
2050,4.549919067438094
2051,4.151133175425871
2052,3.7869233528998434
2053,3.4540536774026185
2054,3.149943568754839
2055,2.872225230761446
2056,2.6185380737005923
2057,2.3869100879266445
2058,2.1754384649013403
2059,1.9823803926954808
2060,1.8061869643145279
2061,1.6453920427903037
2062,1.4986769208371167
2063,1.3648341938188147
2064,1.242746751148046
2065,1.1314039720623303
2066,1.0298750866287405
2067,0.937308452491145
2068,0.852927896720859
2069,0.7760205044363003
