years,total_users
2015,77.0
2016,77.0
2017,77.0
2018,77.2
2019,77.2
2020,79.0
2021,79.1174938305723
2022,80.03570549140491
2023,81.01239323110995
2024,81.54870018190705
2025,82.51472166326359
2026,83.29008477181034
2027,84.0603146578359
2028,84.9501685512369
2029,85.74237053267085
2030,86.59197981166838
2031,87.45274178981046
2032,88.29358136167073
2033,89.16886874855192
2034,90.03995911789156
2035,90.91849959928462
2036,91.81234692474253
2037,92.70801244332338
2038,93.61524499140785
2039,94.53123070220026
2040,95.45410325275213
2041,96.38732968885982
2042,97.32857279153424
2043,98.27863452626664
2044,99.2380810618907
2045,100.20614704818087
2046,101.18351801901937
2047,102.17009618622806
2048,103.16584354994828
2049,104.17105565523143
2050,105.18566650095975
2051,106.20980668781466
2052,107.24359280855526
2053,108.28705906188088
2054,109.34033090776006
2055,110.40348564088045
2056,111.47660501105166
2057,112.5597923164491
2058,113.65312902907978
2059,114.75670963396428
2060,115.87062849219025
2061,116.9949755786805
2062,118.12984732634705
2063,119.2753379310768
2064,120.43154264192944
2065,121.59855883452211
2066,122.77648331052427
2067,123.9654144784822
2068,125.16545154061752
2069,126.37669423345675
