years,total_users
2015,75.0
2016,74.5
2017,74.0
2018,74.7
2019,95.3
2020,95.0
2021,107.56802673894319
2022,119.77967215835274
2023,128.20187366293936
2024,143.05013836506154
2025,156.0716417284283
2026,170.6462438524476
2027,187.76089765862918
2028,205.02461613245174
2029,224.62578475225425
2030,245.89065829121427
2031,268.7469815162436
2032,293.97386386447874
2033,321.23192135458294
2034,350.90519584365256
2035,383.24687087027183
2036,418.3173676593472
2037,456.4737062759943
2038,497.91524664186113
2039,542.8962815645086
2040,591.7433274846734
2041,644.7356422148744
2042,702.2195230287896
2043,764.5577882888875
2044,832.1275727202111
2045,905.3522320984439
2046,984.6755028930531
2047,1070.5766005166752
2048,1163.5735694088253
2049,1264.218346612737
2050,1373.10632476194
2051,1490.8759927224053
2052,1618.2116964711931
2053,1755.848692322521
2054,1904.5748565437189
2055,2065.2351143155406
2056,2238.7353778338515
2057,2426.0462117188536
2058,2628.207641330163
2059,2846.3336211687206
2060,3081.6169775238836
2061,3335.334793276135
2062,3608.853905965737
2063,3903.6369099119256
2064,4221.248485665186
2065,4563.362090649653
2066,4931.767120149109
2067,5328.376470890283
2068,5755.234581620979
2069,6214.525974682712
