years,total_users
2015,262.0
2016,245.5
2017,229.0
2018,236.5
2019,234.1
2020,252.0
2021,255.15448780060612
2022,263.53055418541027
2023,274.68413445064357
2024,281.11249521092566
2025,291.55747811143493
2026,301.0509289690682
2027,310.21332539624007
2028,320.92700046908254
2029,331.0239323308263
2030,341.75366293342086
2031,352.9736425326245
2032,364.2267800500051
2033,376.06599100618155
2034,388.19271387028425
2035,400.65566845317966
2036,413.58243048177206
2037,426.849168481056
2038,440.5446850116761
2039,454.6716482052741
2040,469.2134694539601
2041,484.21666595835956
2042,499.67519515348386
2043,515.6049333946478
2044,532.0270278582659
2045,548.9473716288832
2046,566.3854504727733
2047,584.3557921903019
2048,602.8721275362196
2049,621.9525221371794
2050,641.6121994741816
2051,661.8681793105521
2052,682.738256051407
2053,704.2397343836031
2054,726.3912342030027
2055,749.2115505720813
2056,772.7199247812775
2057,796.936376594741
2058,821.8812716700733
2059,847.5756235557914
2060,874.0410444337252
2061,901.299681005569
2062,929.3743415456703
2063,958.2884403142353
2064,988.0660300140019
2065,1018.7318384726817
2066,1050.3112581797993
2067,1082.8303818854254
2068,1116.316016797715
2069,1150.7956982796836
