years,population
2010,34148.0
2011,34539.0
2012,34922.0
2013,35297.0
2014,35664.0
2015,36027.0
2016,36383.0
2017,36732.0
2018,37075.0
2019,37411.0
2020,37742.0
2021,38088.801864120614
2022,38429.66915637037
2023,38775.99896088546
2024,39127.323007241925
2025,39478.47568422929
2026,39834.91910490024
2027,40193.83786170413
2028,40555.38108313768
2029,40920.871762163464
2030,41288.97798021302
2031,41660.4360662053
2032,42035.241997379875
2033,42413.09873383498
2034,42794.37279369815
2035,43178.914253382674
2036,43566.75842229368
2037,43958.01409475217
2038,44352.62456324602
2039,44750.66242399513
2040,45152.15427949118
2041,45557.108656869124
2042,45965.57571814016
2043,46377.57361004577
2044,46793.13226095147
2045,47212.286408693115
2046,47635.060684923905
2047,48061.48801769817
2048,48491.59869195132
2049,48925.42209355728
2050,49362.990438163484
2051,49804.33417594506
2052,50249.48472700132
2053,50698.47404804296
2054,51151.33370318741
2055,51608.09601442181
2056,52068.793380652896
2057,52533.45838840529
2058,53002.12404644517
2059,53474.82350084246
2060,53951.59020760142
