years,population
2010,128542.0
2011,128499.0
2012,128424.0
2013,128314.0
2014,128169.0
2015,127985.0
2016,127763.0
2017,127503.0
2018,127202.0
2019,126860.0
2020,126476.0
2021,126156.84039766835
2022,125796.17149965215
2023,125446.91672590689
2024,125109.32377448105
2025,124756.6750218188
2026,124415.55952464034
2027,124072.74110119634
2028,123728.15486572926
2029,123388.4784689677
2030,123047.06051115769
2031,122707.20767080938
2032,122368.93324029232
2033,122030.56457841315
2034,121693.76190489167
2035,121357.69548779572
2036,121022.35909269837
2037,120688.16805209959
2038,120354.70434229825
2039,120022.1725446613
2040,119690.57133753612
2041,119359.7939955764
2042,119029.94217670315
2043,118700.96186721057
2044,118372.85054524962
2045,118045.63205176895
2046,117719.27812973637
2047,117393.79945396613
2048,117069.19383111862
2049,116745.45248300982
2050,116422.5796652839
2051,116100.56990590593
2052,115779.42095742708
2053,115459.13222589559
2054,115139.69986525174
2055,114821.12246874839
2056,114503.39783025369
2057,114186.52333710511
2058,113870.49719669024
2059,113555.31701334029
2060,113240.98059811073
