years,L2_users
2015,204.0
2016,204.0
2017,204.0
2018,204.0
2019,204.0
2020,195.4
2021,195.5331824758518
2022,191.3720413168637
2023,187.27180315555205
2024,185.39074423758078
2025,181.3913832573564
2026,178.53098796686768
2027,175.71906773537359
2028,172.414966268889
2029,169.7030385017947
2030,166.76721894335049
2031,163.87936725442876
2032,161.17385625754807
2033,158.37841743446702
2034,155.6963006208648
2035,153.0585749858399
2036,150.4307134111026
2037,147.87995486715005
2038,145.35456994531472
2039,142.87094347581626
2040,140.43686872005406
2041,138.0346869361132
2042,135.67651994028665
2043,133.35745996766312
2044,131.0747607358298
2045,128.8320572170054
2046,126.6255450274356
2047,124.4556926432715
2048,122.32243973976294
2049,120.22414084838239
2050,118.16102341423279
2051,116.13225709923947
2052,114.13715495673846
2053,112.17543765537177
2054,110.24636802757581
2055,108.34948419962663
2056,106.48429890444092
2057,104.65023319050013
2058,102.84683282210328
2059,101.07358468808071
2060,99.32999188043412
2061,97.61559013709308
2062,95.92989354631057
2063,94.27244033839467
2064,92.6427739586377
2065,91.0404388110777
2066,89.4649937058951
2067,87.91600026512666
2068,86.39302752348227
2069,84.8956528609778
