years,L2_users
2015,20.5
2016,32.5
2017,31.0
2018,30.0
2019,28.0
2020,25.0
2021,23.89871774358421
2022,21.774760389948057
2023,20.0721304902228
2024,18.781688942364237
2025,17.168376697060133
2026,15.94982323889193
2027,14.755926961386047
2028,13.579250714960471
2029,12.594698736950274
2030,11.61507370080746
2031,10.725033018250107
2032,9.919539167437224
2033,9.148399101275727
2034,8.452266042580984
2035,7.804439806212647
2036,7.200946633817614
2037,6.649493243918439
2038,6.135459747230512
2039,5.661344763412945
2040,5.224293507500094
2041,4.818807236043284
2042,4.445219615718364
2043,4.0998378205497445
2044,3.7805250676679436
2045,3.4860148812109975
2046,3.213778549851875
2047,2.962470594343844
2048,2.730524881890174
2049,2.516312110860099
2050,2.3186613942363996
2051,2.136239915420342
2052,1.9678930762201674
2053,1.8125966690329665
2054,1.669318273374372
2055,1.5371642603786335
2056,1.415287886390672
2057,1.3028944624479077
2058,1.1992697897607345
2059,1.1037377567251232
2060,1.0156779052779499
2061,0.934519220623281
2062,0.859728436424382
2063,0.7908163490807537
2064,0.7273294908589988
2065,0.6688480050896745
2066,0.6149851640795677
2067,0.5653826397106263
2068,0.5197096524240733
2069,0.47766078980425847
