years,L2_users
2015,50.0
2016,55.5
2017,61.0
2018,11.0
2019,10.0
2020,10.0
2021,1.1284634403087148
2022,3.627323558229767
2023,1.7542729196641813
2024,0.4387625084298763
2025,1.1930975955250387
2026,0.28119757322162914
2027,0.27369619263219785
2028,0.335133817207806
2029,0.06370324005291796
2030,0.1421330666932425
2031,0.08666853240525745
2032,0.031235512895905072
2033,0.05713742744255156
2034,0.021501835323446506
2035,0.017682556121637022
2036,0.019236291949255028
2037,0.006587055919885171
2038,0.008703538636984866
2039,0.0058985098110348804
2040,0.0028355377848811726
2041,0.003613283382832909
2042,0.0018014964084813413
2043,0.0013749660020940947
2044,0.0013199397195066119
2045,0.0006266120865929235
2046,0.0006320089537271454
2047,0.00045168453725738365
2048,0.00025913859665374807
2049,0.00026327000039687244
2050,0.0001558668010749216
2051,0.0001158173737253774
2052,0.00010112562190102199
2053,5.8259978788398495e-05
2054,5.0893512513666396e-05
2055,3.735720312453875e-05
2056,2.392542161283038e-05
2057,2.1217129493136653e-05
2058,1.3946527655414921e-05
2059,1.0303914413144121e-05
2060,8.443283979822297e-06
2061,5.46492518449058e-06
2062,4.425099876047967e-06
2063,3.291698763667296e-06
2064,2.2574683739161016e-06
2065,1.8520734417625945e-06
2066,1.2954285685685433e-06
2067,9.598558436448736e-07
2068,7.568388139050941e-07
2069,5.248877545743214e-07
