year,data
1960,0.9566587519041276
1961,0.9535369335842677
1962,0.9103635349381742
1963,0.8878923145099568
1964,0.8099088656897576
1965,0.7724995396553122
1966,0.6780992494173677
1967,0.6977997913295203
1968,0.5598007694224867
1969,0.49262503257621815
1970,0.45290823776711464
1971,0.38907366117576947
1972,0.28390601240102353
1973,0.1307462686199119
1974,0.20348584198186984
1975,0.16715040491429933
1976,0.006943976366812284
1977,-0.23187416487379345
1978,-0.32860652557309467
1979,-0.4642592969757378
1980,-0.21443110118352843
1981,0.18530491990922124
1982,0.3005837555974169
1983,-0.06022121648046812
1984,-0.2164295635935135
1985,-0.1541733013549154
1986,-0.1934951762642004
1987,-0.28920499131715827
1988,-0.43613710894329516
1989,-0.4293113089872743
1990,-0.38166631921205496
1991,-0.14945493729878864
1992,-0.2217845048082888
1993,-0.11193169057889339
1994,-0.1930741390200624
1995,-0.1670893256397035
1996,-0.25388556487526454
1997,-0.20849917431341494
1998,-0.2285218224129157
1999,-0.3610856311736013
2000,-0.3575625370888341
2001,-0.5106173204758722
2002,-0.5856837091364118
2003,-0.5128286601297775
2004,-0.5149815860614725
2005,-0.5553701394765457
2006,-0.5067454181425367
2007,-0.5266046738291682
2008,-0.30103442468451924
2009,-0.17272252785552258
