years,data
1960,862.90841
1961,945.57376
1962,865.19667
1963,1234.76321
1964,1167.74788
1965,1110.49369
1966,1891.37634
1967,2017.92097
1968,2294.92316
1969,2727.97205
1970,3678.98067
1971,2930.08784
1972,3565.58006
1973,3415.66511
1974,3933.27026
1975,2330.79318
1976,2032.30662
1977,2170.2907
1978,2686.77869
1979,2958.62195
1980,2061.0577
1981,1636.92896
1982,1521.8228
1983,1646.88683
1984,2484.72137
1985,2563.20108
1986,2530.279
1987,2491.74954
1988,2683.30354
1989,2385.79149
1990,2366.58225
1991,2180.90538
1992,2983.94721
1993,2327.73996
1994,2574.28031
1995,3137.81001
1996,2459.88291
1997,2704.15247
1998,3971.58751
1999,3814.33039
2000,3428.52058
2001,2567.63383
2002,3530.88132
2003,3468.47961
2004,4812.23182
2005,4638.37385
2006,4124.88654
2007,4073.89889
2008,3474.86926
2009,2997.9711
