years,data
1960,699.49296
1961,460.35476
1962,748.20557
1963,673.37119
1964,595.46666
1965,477.64343
1966,521.93067
1967,539.07106
1968,475.95963
1969,429.50321
1970,427.42307
1971,418.66166
1972,410.1631
1973,359.29338
1974,405.4602
1975,357.94787
1976,336.89978
1977,374.50549
1978,341.55283
1979,369.26607
1980,280.59077
1981,225.13174
1982,156.7687
1983,156.1435
1984,189.86648
1985,183.9541
1986,225.67632
1987,207.37956
1988,185.80336
1989,210.14983
1990,193.95847
1991,188.23063
1992,158.00418
1993,127.97155
1994,142.00122
1995,139.20465
1996,154.56168
1997,150.83427
1998,191.08533
1999,156.98
2000,203.72685
2001,191.44114
2002,183.29913
2003,233.24566
2004,163.79543
2005,187.52321
2006,176.849
2007,145.00407
2008,156.37398
2009,126.84984
