years,data
1960,0.16368
1961,0.04399
1962,0.04179
1963,0.02756
1964,0.01935
1965,0.01404
1966,0.00655
1967,0.0025
1968,0.00231
1969,0.00351
1970,0.00859
1971,0.01264
1972,0.01423
1973,0.00847
1974,0.00582
1975,0.02169
1976,0.02982
1977,0.05377
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
