years,data
1960,9.53263
1961,9.71663
1962,10.44646
1963,7.4041
1964,5.23438
1965,4.30368
1966,2.20407
1967,1.04342
1968,1.06146
1969,2.09137
1970,5.38294
1971,9.69891
1972,14.0194
1973,11.83582
1974,11.29194
1975,133.05484
1976,363.99238
1977,831.71152
1978,449.74038
1979,1877.50575
1980,643.01084
1981,1214.004
1982,1515.98995
1983,1503.9975
1984,1803.99342
1985,1914.98971
1986,2289.17
1987,668.896
1988,593.202
1989,688.909
1990,660.228
1991,688.848
1992,631.532
1993,674.278
1994,727.04502
1995,656.537
1996,675.19105
1997,701.9368
1998,697.51452
1999,684.44308
2000,720.01735
2001,671.85932
2002,625.9915
2003,680.54597
2004,738.17804
2005,718.58833
2006,739.96841
2007,712.39482
2008,627.6772
2009,430.9596
