years,data
1960,206.04151
1961,209.71986
1962,225.3713
1963,159.51452
1964,112.6136
1965,92.20101
1966,46.90975
1967,22.05066
1968,22.41046
1969,43.60929
1970,108.63338
1971,193.00841
1972,277.58258
1973,234.8261
1974,222.39544
1975,2631.54266
1976,7304.87572
1977,17073.11625
1978,9159.21469
1979,37988.24974
1980,13100.09199
1981,24718.12906
1982,30807.35653
1983,30338.63757
1984,36633.91086
1985,38792.71255
1986,46275.06793
1987,13295.08392
1988,12290.38614
1989,14263.10305
1990,13251.10607
1991,13736.98615
1992,12830.6525
1993,13482.37067
1994,14655.84622
1995,13105.81786
1996,13366.81798
1997,13716.09777
1998,13427.36376
1999,13166.83686
2000,15958.46455
2001,14718.3415
2002,13987.79259
2003,15249.1841
2004,16194.41559
2005,15925.80728
2006,16314.51272
2007,15307.84728
2008,12928.55602
2009,8729.99171
