years,data
1970,0.63061
1971,0.56413
1972,0.74381
1973,0.73898
1974,1.05343
1975,0.97595
1976,1.17651
1977,1.26917
1978,1.36924
1979,1.61285
1980,1.57512
1981,1.60559
1982,2.13758
1983,2.20157
1984,1.87619
1985,1.79655
1986,1.74282
1987,1.94504
1988,1.84337
1989,1.92138
1990,1.97006
1991,2.01033
1992,2.01558
1993,2.02623
1994,2.05153
1995,2.02685
1996,1.98446
1997,1.98767
1998,2.01016
1999,2.07306
2000,1.87925
2001,1.90169
2002,1.91765
2003,1.86904
2004,1.90443
2005,2.17664
2006,2.18709
2007,2.75551
2008,2.80035
2009,2.59613
