years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.17
1983,0.0
1984,0.19
1985,0.22
1986,0.0
1987,0.02208
1988,0.02794
1989,0.0
1990,0.0262
1991,0.05382
1992,0.65232
1993,0.17136
1994,0.01365
1995,0.65403
1996,0.02208
1997,0.02156
1998,0.0374
1999,0.00672
2000,0.00286
2001,0.06998
2002,0.09537
2003,0.10246
2004,0.09222
2005,0.1083
2006,0.07263
2007,0.0733
2008,0.0
2009,0.0
