years,data
1960,209.57935
1961,210.66932
1962,6290.98311
1963,8432.01905
1964,9102.72547
1965,7030.44355
1966,7372.74514
1967,7183.65905
1968,8137.1679
1969,8381.44702
1970,8622.9298
1971,8875.93953
1972,7522.79594
1973,9926.90018
1974,48358.9072
1975,92448.56979
1976,139959.9045
1977,179847.4746
1978,159979.5618
1979,246230.2266
1980,244994.3448
1981,319438.1119
1982,336245.059
1983,295441.9187
1984,324862.346
1985,342012.7337
1986,295888.0014
1987,282881.8233
1988,309040.895
1989,353144.049
1990,343414.509
1991,347261.3399
1992,369742.9504
1993,389838.7377
1994,402390.1462
1995,342889.3714
1996,342839.3757
1997,369871.869
1998,386769.6754
1999,403262.1076
2000,432810.0454
2001,424023.2213
2002,406478.8093
2003,406536.9641
2004,425413.1317
2005,428444.8054
2006,431984.5691
2007,438524.2236
2008,458726.7285
2009,413259.9226
