years,data
1960,9.69631
1961,9.76062
1962,10.48825
1963,7.43166
1964,5.25373
1965,4.31772
1966,2.21062
1967,1.04592
1968,1.06377
1969,2.09488
1970,5.39153
1971,9.71155
1972,14.03363
1973,11.84429
1974,11.29776
1975,133.07653
1976,364.0222
1977,831.76529
1978,449.74038
1979,1877.50575
1980,643.01084
1981,1214.004
1982,1516.98994
1983,1503.9975
1984,1804.99343
1985,1915.98972
1986,2289.17
1987,668.992
1988,593.329
1989,688.909
1990,660.359
1991,689.147
1992,635.156
1993,675.23
1994,727.13602
1995,661.568
1996,675.37509
1997,702.13284
1998,697.85454
1999,684.49908
2000,720.04335
2001,672.49546
2002,626.78627
2003,681.33411
2004,739.10027
2005,719.94214
2006,740.77541
2007,713.12782
2008,627.6772
2009,430.9596
