years,data
1970,0.06862
1971,0.10902
1972,0.20668
1973,0.17365
1974,0.2344
1975,2.56867
1976,8.59496
1977,21.67009
1978,12.54116
1979,61.26935
1980,20.63422
1981,39.68718
1982,65.90426
1983,66.79263
1984,68.77807
1985,69.73752
1986,80.64911
1987,25.86358
1988,22.66082
1989,27.40484
1990,26.11081
1991,27.62969
1992,26.03234
1993,27.36127
1994,30.07166
1995,26.79007
1996,26.53305
1997,27.27083
1998,27.00668
1999,27.29839
2000,29.99105
2001,28.01374
2002,26.85378
2003,28.53006
2004,30.87657
2005,34.72345
2006,35.71682
2007,42.22237
2008,36.20448
2009,22.66419
