years,data
1970,1.11534
1971,1.17673
1972,1.18426
1973,1.41082
1974,2.3692
1975,2.61989
1976,2.84334
1977,2.94438
1978,3.17089
1979,4.32992
1980,6.94307
1981,7.5948
1982,7.729
1983,6.28378
1984,6.0188
1985,5.94309
1986,3.528
1987,4.15638
1988,3.83083
1989,4.79233
1990,5.62512
1991,5.239
1992,4.95888
1993,5.18601
1994,4.76204
1995,5.0573
1996,5.99609
1997,5.39042
1998,4.11852
1999,5.39042
2000,7.79037
2001,6.8679
2002,6.41105
2003,7.76636
2004,10.72823
2005,14.6038
2006,16.81188
2007,17.90831
2008,23.89297
2009,14.31447
