years,data
1970,5.78025
1971,7.32702
1972,11.4321
1973,20.69872
1974,29.90691
1975,39.62589
1976,45.2379
1977,65.53262
1978,85.8671
1979,76.00249
1980,107.07206
1981,107.90921
1982,77.39836
1983,83.93837
1984,95.65085
1985,64.969
1986,63.37762
1987,53.32806
1988,44.9128
1989,90.07495
1990,91.25736
1991,81.04554
1992,85.34681
1993,82.96622
1994,84.26294
1995,112.55426
1996,150.08938
1997,141.1939
1998,89.8802
1999,127.60079
2000,192.13641
2001,175.83889
2002,146.20194
2003,138.75624
2004,202.70204
2005,435.38932
2006,451.47923
2007,447.95998
2008,821.43546
2009,396.57706
