years,data
1970,1.09671
1971,1.11409
1972,1.12073
1973,1.29102
1974,2.18415
1975,2.48945
1976,2.65224
1977,2.92043
1978,3.02709
1979,4.26591
1980,6.56814
1981,7.74992
1982,7.50388
1983,6.93372
1984,6.75753
1985,6.90214
1986,5.61336
1987,6.58338
1988,6.07967
1989,6.73214
1990,7.84415
1991,7.48034
1992,7.4419
1993,8.21905
1994,7.86719
1995,7.81787
1996,8.72204
1997,8.34959
1998,7.39685
1999,8.10188
2000,10.56363
2001,9.67171
2002,9.26
2003,11.00002
2004,13.726
2005,17.71108
2006,19.31112
2007,19.97054
2008,25.55
2009,16.14267
