years,data
1970,31.29344
1971,34.00637
1972,49.46237
1973,77.4186
1974,121.28541
1975,147.08655
1976,156.13095
1977,215.73301
1978,253.62964
1979,297.49922
1980,412.0184
1981,450.38872
1982,360.52788
1983,360.95193
1984,377.76055
1985,406.43787
1986,365.45738
1987,392.56429
1988,365.08751
1989,438.83148
1990,518.79054
1991,447.29901
1992,494.93541
1993,678.48011
1994,634.69101
1995,688.75831
1996,883.33847
1997,871.1127
1998,804.32926
1999,951.82561
2000,1225.95419
2001,1216.36027
2002,1074.92809
2003,1301.23047
2004,1799.72182
2005,2675.15603
2006,3019.05893
2007,3062.93174
2008,4029.76788
2009,2314.4206
