years,data
1970,1.096815554
1971,1.114675327
1972,1.118950235
1973,1.300602812
1974,2.189397518
1975,2.532412905
1976,2.678032039
1977,2.947107139
1978,3.052039457
1979,4.259746269
1980,6.571774268
1981,7.763015841
1982,7.510145471
1983,6.95114894
1984,6.770535098
1985,6.91676934
1986,5.656661644
1987,6.657660319
1988,6.114951606
1989,6.775830073
1990,7.893221431
1991,7.516008312
1992,7.472166968
1993,8.239917702
1994,7.884976582
1995,7.837177846
1996,8.741489918
1997,8.368334392
1998,7.41637982
1999,8.114265958
2000,10.59942635
2001,9.703829301
2002,9.272745554
2003,11.01547022
2004,13.74406928
2005,17.72215525
2006,19.32587311
2007,19.98106993
2008,25.56658479
2009,16.14864605
