years,data
1960,-51.12711
1961,-48.54491
1962,-70.00844
1963,-78.34054
1964,-86.51979
1965,-97.42181
1966,-103.80942
1967,-116.33999
1968,-128.67007
1969,-150.35967
1970,-175.27362
1971,-206.5199
1972,-452.20962
1973,-320.96452
1974,-75.16855
1975,-47.37425
1976,-67.64864
1977,-55.28382
1978,-122.41778
1979,-134.91389
1980,-138.32248
1981,-36.41628
1982,-23.26643
1983,-3.77708
1984,-4.265
1985,0.0
1986,-5.21354
1987,-5.18624
1988,-6.09383
1989,-7.04578
1990,-7.07649
1991,363.0368
1992,-7.39039
1993,-7.69406
1994,-8.41741
1995,1146.25799
1996,-9.01109
1997,391.83408
1998,13.648
1999,0.0
2000,161.1044
2001,187.50305
2002,48.18259
2003,-54.16161
2004,265.38638
2005,-259.93268
2006,-621.77507
2007,9.26931
2008,-896.25061
2009,-788.28411
