years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,5.0352
1982,11.91158
1983,1.77519
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,78.64723
1994,206.47685
1995,648.9446
1996,547.24993
1997,543.38626
1998,419.09788
1999,363.32073
2000,415.90984
2001,569.99774
2002,325.22749
2003,313.38896
2004,300.7989
2005,3897.2841
2006,4116.15728
2007,4592.34965
2008,5528.42733
2009,5520.84924
