years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.03066
1982,0.11709
1983,0.00911
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.35392
1994,0.15788
1995,0.48918
1996,0.39351
1997,0.39643
1998,0.28746
1999,0.23987
2000,0.27168
2001,0.39668
2002,0.21901
2003,0.20697
2004,0.189
2005,2.37333
2006,2.62115
2007,2.98825
2008,3.8539
2009,9.97461
