years,data
1970,5.32440328
1971,5.410990794
1972,5.790218647
1973,6.318617621
1974,7.62664904
1975,9.65179801
1976,10.32799736
1977,11.83254328
1978,12.68814176
1979,14.14911012
1980,15.67811262
1981,16.8813309
1982,19.83920923
1983,20.1586066
1984,20.55666491
1985,21.14943958
1986,21.87191793
1987,21.31357478
1988,21.73489379
1989,22.09514086
1990,22.81346773
1991,23.09212609
1992,23.93648203
1993,24.05341224
1994,23.22789393
1995,22.32022792
1996,22.11201008
1997,21.6315116
1998,21.47574032
1999,21.19632821
2000,21.24508307
2001,21.29893968
2002,21.13390822
2003,21.52180025
2004,21.82901629
2005,22.82642102
2006,24.14242021
2007,25.01884138
2008,26.71319823
2009,28.00764778
