years,data
1960,32168.50488
1961,31245.74745
1962,30861.24516
1963,30833.67301
1964,30181.71918
1965,46399.81125
1966,54380.45399
1967,52242.53798
1968,59309.14887
1969,63450.93827
1970,64579.78217
1971,69609.84906
1972,70406.32015
1973,74774.3496
1974,77275.3736
1975,75483.5631
1976,78612.19542
1977,68842.57507
1978,72740.79923
1979,75122.5793
1980,102171.4233
1981,71114.17364
1982,73333.60779
1983,152355.3319
1984,163692.0068
1985,146122.6278
1986,151060.2537
1987,105592.3349
1988,80384.6875
1989,82170.81933
1990,77157.62555
1991,70292.09544
1992,68471.86889
1993,69040.28019
1994,75981.7243
1995,85470.17673
1996,95276.44104
1997,123060.4507
1998,111863.0172
1999,99793.66264
2000,85221.35742
2001,78774.29715
2002,75556.70214
2003,72454.91114
2004,69884.87923
2005,64094.23194
2006,67378.81478
2007,65211.38016
2008,71795.27831
2009,62730.8872
