years,data
1960,25325.11054
1961,27427.81698
1962,30281.2013
1963,31013.70319
1964,32457.76126
1965,30064.61836
1966,32416.56327
1967,38383.68086
1968,44161.97235
1969,40764.81947
1970,36390.76758
1971,37050.18988
1972,38219.47799
1973,39858.21439
1974,39848.85011
1975,39039.36254
1976,36798.14488
1977,39602.38373
1978,40986.72676
1979,43360.14014
1980,43937.25799
1981,41601.47379
1982,42564.42395
1983,39106.88485
1984,44211.48638
1985,39420.8768
1986,42580.39742
1987,46404.14447
1988,47010.34801
1989,45292.06745
1990,47305.87698
1991,53729.18179
1992,46425.57316
1993,44237.14578
1994,41933.39554
1995,43014.59834
1996,44912.38603
1997,45232.20887
1998,49197.37583
1999,54587.52833
2000,59155.74476
2001,56210.6274
2002,58649.25885
2003,60387.84364
2004,46810.11889
2005,45463.26794
2006,43775.60225
2007,37490.26368
2008,38348.02451
2009,32288.2927
