years,data
1970,0.75673
1971,0.79534
1972,0.82065
1973,0.96045
1974,1.6388
1975,2.12385
1976,2.31832
1977,2.7102
1978,2.91819
1979,4.08107
1980,6.59267
1981,7.6691
1982,7.37997
1983,6.71111
1984,6.41481
1985,6.2
1986,4.25185
1987,4.36296
1988,4.14815
1989,4.8
1990,6.04444
1991,5.02963
1992,4.71852
1993,4.68889
1994,4.23704
1995,4.34074
1996,5.11111
1997,4.8963
1998,3.54815
1999,4.43704
2000,7.08148
2001,5.93333
2002,5.54074
2003,6.6963
2004,9.53333
2005,13.14074
2006,15.26667
2007,16.23704
2008,21.37037
2009,12.4963
