years,data
1960,4721.39535
1961,5096.29184
1962,5619.28232
1963,5755.50283
1964,6018.47777
1965,5544.91538
1966,5969.19659
1967,7046.17121
1968,8102.59699
1969,7458.61761
1970,6643.56548
1971,6769.29967
1972,6960.05956
1973,7226.08227
1974,7229.26795
1975,7075.02671
1976,6670.25428
1977,7172.701
1978,7416.61132
1979,7831.86606
1980,7967.01196
1981,7523.12163
1982,7713.75032
1983,7089.08417
1984,8021.84606
1985,7154.11663
1986,7696.89762
1987,8373.61151
1988,8477.63757
1989,8156.77898
1990,8501.42113
1991,9642.44756
1992,8310.0162
1993,7891.55152
1994,7400.95691
1995,7588.17647
1996,7921.59805
1997,7977.68351
1998,8676.78586
1999,9627.43004
2000,10433.11195
2001,9913.6909
2002,10343.78463
2003,10650.41334
2004,8255.75289
2005,8018.21304
2006,7720.56477
2007,6612.03945
2008,6763.32002
2009,5694.58425
