years,data
1960,133.45536
1961,435.47356
1962,602.99833
1963,612.65251
1964,726.38987
1965,1179.67142
1966,1433.38264
1967,2068.04455
1968,2452.58881
1969,2615.62594
1970,2585.63313
1971,2541.55601
1972,3010.66363
1973,3690.61534
1974,3606.73089
1975,3659.03018
1976,3425.18477
1977,3785.93612
1978,4034.20047
1979,4509.5155
1980,4044.15537
1981,4175.10306
1982,3991.39997
1983,3634.40989
1984,3982.54198
1985,3525.65792
1986,4328.6053
1987,4963.34869
1988,5119.36135
1989,5119.09845
1990,5653.22803
1991,6647.22253
1992,6112.49654
1993,6279.0076
1994,7305.62315
1995,7555.28045
1996,7911.8364
1997,7973.69421
1998,8676.78586
1999,9627.43004
2000,10433.11195
2001,9913.6909
2002,10343.78463
2003,10650.41334
2004,8255.75289
2005,8018.21304
2006,7720.56477
2007,6612.03945
2008,6763.32002
2009,5694.58425
