years,data
1960,363.56068
1961,208.36015
1962,141.99194
1963,81.83999
1964,153.65309
1965,175.64764
1966,211.04642
1967,243.66377
1968,79.24449
1969,79.47974
1970,935.54972
1971,895.85972
1972,583.99617
1973,510.29983
1974,1275.74972
1975,1205.09272
1976,1975.07436
1977,3180.03265
1978,2829.32921
1979,567.0
1980,413.91
1981,606.69
1982,102.07089
1983,37.12478
1984,31.86002
1985,92.87794
1986,315.23346
1987,283.77981
1988,316.04387
1989,281.60197
1990,112.59123
1991,205.79441
1992,17.6024
1993,19.75735
1994,17.08615
1995,21.40391
1996,38.83128
1997,46.73776
1998,61.03046
1999,49.96614
2000,31.10879
2001,31.05346
2002,16.06503
2003,25.26887
2004,33.40526
2005,51.51807
2006,49.95361
2007,22.56649
2008,6.94161
2009,8.21227
