years,data
1970,1.63223
1971,1.40762
1972,1.42123
1973,1.64076
1974,2.58558
1975,3.18671
1976,3.48653
1977,3.55529
1978,3.75762
1979,6.11977
1980,5.45276
1981,6.54567
1982,6.58572
1983,8.02725
1984,7.93848
1985,8.27732
1986,4.88324
1987,4.75939
1988,4.98532
1989,5.5065
1990,7.22143
1991,6.05692
1992,5.2169
1993,5.50782
1994,5.00054
1995,5.07991
1996,5.44844
1997,5.19259
1998,5.07746
1999,5.99526
2000,9.3218
2001,8.34207
2002,8.53593
2003,8.79145
2004,11.0767
2005,13.30562
2006,20.12447
2007,22.96946
2008,28.46026
2009,21.80639
