years,data
1960,12363.01972
1961,12811.38458
1962,13677.77693
1963,14233.8493
1964,14571.82587
1965,14996.87649
1966,15844.39013
1967,16252.00432
1968,17735.38013
1969,20019.57265
1970,21541.61375
1971,22956.79025
1972,25557.43856
1973,27825.36538
1974,26717.40842
1975,27704.12788
1976,28935.47618
1977,30764.65319
1978,32431.39909
1979,32091.29291
1980,30589.00177
1981,30824.66229
1982,31440.47867
1983,32995.03856
1984,34591.53379
1985,36148.09266
1986,37843.89466
1987,39270.75458
1988,40215.64795
1989,40648.20033
1990,39326.22449
1991,40593.06112
1992,41555.67365
1993,43025.90341
1994,45193.11188
1995,47159.06937
1996,49417.06651
1997,48883.8478
1998,52660.89263
1999,54854.21446
2000,56431.10982
2001,58506.35732
2002,61230.21586
2003,61827.15062
2004,65248.35443
2005,67483.26482
2006,69307.12369
2007,70010.19505
2008,65759.53619
2009,63595.08026
