years,data
1970,316.93206
1971,345.9785
1972,379.55669
1973,447.41756
1974,578.18146
1975,671.90519
1976,735.03829
1977,822.80609
1978,922.83637
1979,1177.36038
1980,1555.38281
1981,1752.98971
1982,1707.62423
1983,1537.53565
1984,1624.27969
1985,1720.14247
1986,1438.44739
1987,1603.18947
1988,1544.36147
1989,1748.19747
1990,1903.8618
1991,1827.66151
1992,2014.12092
1993,2164.4401
1994,2264.44675
1995,2370.87543
1996,2721.0038
1997,2698.3139
1998,2439.56724
1999,2762.34906
2000,3581.23222
2001,3543.37959
2002,3415.17735
2003,4352.13525
2004,5299.9937
2005,6567.06495
2006,7437.34719
2007,7997.96438
2008,8694.46151
2009,6065.82681
