years,data
1960,16466.85
1961,16083.9
1962,15547.77
1963,15600.345
1964,18659.85
1965,19370.152
1966,21294.04
1967,25266.06
1968,27869.476
1969,28939.02
1970,25365.168
1971,27664.257
1972,27277.56907
1973,25232.12736
1974,23604.95025
1975,17939.25044
1976,16119.41399
1977,15714.10646
1978,16161.6785
1979,21197.26972
1980,22311.63162
1981,25652.08548
1982,19502.9912
1983,12985.3064
1984,14337.74552
1985,19390.85276
1986,13123.15731
1987,17273.73576
1988,18966.662
1989,19248.1077
1990,26094.20541
1991,24149.02041
1992,24254.19971
1993,18012.92903
1994,25814.87696
1995,19317.90848
1996,17793.59912
1997,19394.60536
1998,20527.54454
1999,19605.65033
2000,21666.64494
2001,23232.07214
2002,21535.0028
2003,19629.45272
2004,17493.90238
2005,19899.72946
2006,23029.76233
2007,22983.23641
2008,24832.22958
2009,22534.0938
