years,data
1960,53246.313
1961,60633.506
1962,60183.063
1963,55692.345
1964,48793.312
1965,36739.734
1966,41590.101
1967,39943.602
1968,46857.306
1969,57187.846
1970,58897.948
1971,68381.676
1972,77714.726
1973,56688.678
1974,40249.226
1975,17693.078
1976,24337.588
1977,29492.83
1978,54378.909
1979,51257.505
1980,49699.497
1981,57911.318
1982,31286.183
1983,19208.588
1984,25366.094
1985,41731.215
1986,30606.514
1987,26665.103
1988,25327.881
1989,50807.473
1990,24277.944
1991,23281.754
1992,30938.802
1993,20480.06
1994,26147.411
1995,22183.032
1996,22553.55
1997,26692.296
1998,42267.029
1999,54685.23
2000,95880.682
2001,129086.272
2002,145345.828
2003,170140.284
2004,240321.2592
2005,217485.162
2006,248146.131
2007,280156.418
2008,283816.885
2009,261904.317
