years,data
1960,13680.687
1961,38569.494
1962,48057.937
1963,50615.655
1964,45218.688
1965,55172.266
1966,57779.899
1967,46387.0
1968,53719.0
1969,58466.0
1970,57762.0
1971,60585.0
1972,63133.0
1973,65558.0
1974,64895.0
1975,50868.0
1976,54536.0
1977,50326.0
1978,45791.0
1979,44599.0
1980,37807.0
1981,47264.0
1982,29723.0
1983,29738.0
1984,29161.0
1985,16509.0
1986,8492.0
1987,17763.0
1988,24190.0
1989,20720.0
1990,18450.0
1991,19249.473
1992,19814.622
1993,21213.305
1994,25929.969
1995,27720.603
1996,27036.827
1997,27914.107
1998,28203.101
1999,27066.276
2000,21256.46
2001,21268.157
2002,17212.599
2003,15294.913
2004,20738.034
2005,16997.985
2006,18469.616
2007,19374.671
2008,20204.0
2009,17965.0
