years,data
1970,75.15355
1971,85.80428
1972,92.10174
1973,106.15866
1974,113.31176
1975,134.52618
1976,187.81893
1977,225.53818
1978,231.90013
1979,270.72714
1980,307.30817
1981,340.79553
1982,406.11496
1983,453.93188
1984,466.66493
1985,415.10403
1986,304.46807
1987,365.88909
1988,429.22534
1989,392.69503
1990,404.76996
1991,420.83981
1992,422.50668
1993,428.08359
1994,470.67999
1995,465.05332
1996,457.67975
1997,504.76431
1998,592.07671
1999,590.16355
2000,648.87451
2001,764.11829
2002,812.04314
2003,764.87566
2004,901.73252
2005,958.11972
2006,1187.6604
2007,1301.22676
2008,1333.0337
2009,1184.61592
