years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,36.828
1992,143.6801
1993,179.89616
1994,192.0152
1995,273.06041
1996,361.33196
1997,365.3475
1998,605.82022
1999,727.53168
2000,793.8564
2001,929.674
2002,982.19
2003,1200.074
2004,1347.361
2005,1888.078
2006,1988.578
2007,2010.34
2008,1991.0
2009,2234.0
