years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,12004.66574
1986,105540.3568
1987,140531.7148
1988,243215.0432
1989,83079.97889
1990,217964.745
1991,263104.1156
1992,268148.7605
1993,231601.4355
1994,242182.1841
1995,283526.2151
1996,302902.1823
1997,307623.2148
1998,317888.2631
1999,317842.7274
2000,316838.975
2001,299965.5257
2002,322260.0747
2003,297843.1533
2004,293130.174
2005,269326.5065
2006,250591.6427
2007,280813.3696
2008,305755.4347
2009,320722.9615
