years,data
1960,1008.46538
1961,1047.41143
1962,960.96296
1963,1323.11587
1964,1272.82436
1965,1224.20712
1966,2013.13323
1967,2118.22113
1968,2405.89018
1969,2847.33128
1970,3879.44531
1971,3169.02444
1972,3828.22537
1973,3757.32889
1974,4348.43683
1975,2696.3243
1976,2481.50966
1977,2834.09398
1978,3345.3061
1979,3356.37395
1980,2469.21433
1981,2006.51435
1982,1801.86377
1983,1890.97578
1984,2744.42908
1985,2814.98465
1986,2798.81096
1987,2784.19116
1988,2991.71221
1989,2818.90977
1990,2783.17776
1991,2672.80081
1992,3490.15659
1993,2711.2632
1994,2951.86837
1995,3503.62827
1996,4370.9432
1997,4769.39626
1998,6061.73836
1999,5904.76543
2000,5492.69945
2001,3244.59997
2002,4215.36666
2003,4143.2168
2004,5526.50879
2005,5323.00847
2006,4947.7236
2007,4885.80879
2008,4218.6311
2009,3595.48329
