years,data
1970,1.060342764
1971,1.316519436
1972,1.288591545
1973,1.500789592
1974,2.401843793
1975,2.826046922
1976,2.831929823
1977,3.023714289
1978,3.128569407
1979,3.993536918
1980,6.130241566
1981,7.978385315
1982,7.548460499
1983,7.37204892
1984,7.086493187
1985,7.030636583
1986,6.277126645
1987,5.230871786
1988,5.274439749
1989,5.214793949
1990,5.243940467
1991,6.235396743
1992,5.664163328
1993,6.260256654
1994,6.21174614
1995,6.011181386
1996,6.559950706
1997,6.099691658
1998,5.32589039
1999,5.191736239
2000,6.085395277
2001,6.491088325
2002,6.270813462
2003,7.144918337
2004,7.268064065
2005,8.650306544
2006,10.47847661
2007,11.19391421
2008,12.85191322
2009,11.60469052
