years,data
1960,43.727
1961,27.423
1962,99.211
1963,88.527
1964,111.335
1965,46.985
1966,15.622
1967,16.546
1968,50.038
1969,46.258
1970,20.478
1971,413.783
1972,1520.106
1973,7453.609
1974,8437.335
1975,7409.515
1976,6287.878
1977,8185.365
1978,5624.614
1979,5330.615
1980,1621.926
1981,499.021
1982,400.192
1983,747.229
1984,710.281
1985,356.645
1986,242.408
1987,432.184
1988,219.018
1989,361.092
1990,210.097
1991,158.512
1992,134.541
1993,110.428
1994,223.795
1995,118.794
1996,123.579
1997,110.49
1998,116.613
1999,87.748
2000,402.078
2001,659.701
2002,100.139
2003,95.511
2004,90.28888
2005,78.42501
2006,131.93903
2007,84.768
2008,88.613
2009,103.688
