years,data
1970,0.85897
1971,1.0191
1972,0.9795
1973,1.16307
1974,1.95284
1975,2.38327
1976,2.41814
1977,2.52403
1978,2.68317
1979,3.36066
1980,5.19101
1981,6.41056
1982,6.21776
1983,6.28679
1984,6.17763
1985,6.35288
1986,4.95156
1987,4.75385
1988,4.66275
1989,4.82942
1990,5.22924
1991,5.41357
1992,5.21632
1993,5.62053
1994,5.57585
1995,5.50351
1996,6.20035
1997,5.70066
1998,4.56944
1999,4.8995
2000,6.51197
2001,6.73214
2002,6.21139
2003,7.51425
2004,8.68232
2005,11.31382
2006,13.13651
2007,13.8422
2008,18.66501
2009,12.72055
