years,data
1960,401.53257
1961,524.79231
1962,697.87406
1963,697.79707
1964,737.51142
1965,715.38688
1966,518.45357
1967,751.64925
1968,759.70292
1969,823.22219
1970,914.64635
1971,928.38732
1972,1018.67658
1973,1009.78777
1974,1038.43869
1975,777.13133
1976,766.38469
1977,888.21881
1978,986.05528
1979,1094.63378
1980,587.52815
1981,566.03248
1982,714.21648
1983,823.08839
1984,651.83379
1985,867.63858
1986,831.55157
1987,1001.97015
1988,772.94577
1989,741.25963
1990,698.11814
1991,783.4119
1992,844.69371
1993,746.24523
1994,759.89225
1995,873.70175
1996,711.91685
1997,651.42462
1998,924.22981
1999,1274.67832
2000,1120.04848
2001,1060.43922
2002,1080.1055
2003,862.94515
2004,745.3638
2005,777.66762
2006,840.89885
2007,785.72101
2008,1349.01501
2009,1273.86845
