years,data
1970,9.32473
1971,8.91649
1972,10.505
1973,12.47049
1974,16.77679
1975,15.5551
1976,16.15206
1977,21.79286
1978,21.78314
1979,28.72057
1980,18.2907
1981,21.51556
1982,30.5567
1983,34.91996
1984,25.04861
1985,31.96711
1986,30.04785
1987,39.28221
1988,26.80658
1989,38.58505
1990,34.84013
1991,39.95479
1992,35.05229
1993,31.51798
1994,37.0118
1995,39.73502
1996,35.70467
1997,36.8909
1998,44.44419
1999,58.60701
2000,64.37231
2001,71.36334
2002,65.80994
2003,55.92019
2004,53.52279
2005,63.62926
2006,80.17115
2007,83.36207
2008,168.24907
2009,139.65347
