years,data
1960,22621.72045
1961,23580.38127
1962,25358.64695
1963,26834.20293
1964,27436.44607
1965,27125.48154
1966,29337.02066
1967,31024.89786
1968,34740.2778
1969,37062.75875
1970,39108.41573
1971,40695.98985
1972,47644.67906
1973,58502.5122
1974,58298.51767
1975,55395.42008
1976,55589.39818
1977,63140.815
1978,64592.99824
1979,62747.71632
1980,55349.99742
1981,52457.71462
1982,51660.67642
1983,53579.80713
1984,57543.19295
1985,58629.29819
1986,61817.80734
1987,63309.77438
1988,64295.46627
1989,65147.7264
1990,64068.79535
1991,65598.20097
1992,67477.02983
1993,70293.29481
1994,71951.75541
1995,75875.26229
1996,81316.78481
1997,81264.21219
1998,87990.49956
1999,92934.87101
2000,94578.97207
2001,95684.23171
2002,97769.2307
2003,99291.37959
2004,103629.248
2005,108669.5405
2006,110877.5542
2007,109883.3915
2008,106784.3123
2009,99939.61243
