years,data
1970,417.08366
1971,451.71273
1972,507.648
1973,617.16044
1974,857.12157
1975,958.98607
1976,1038.53294
1977,1225.60196
1978,1387.39277
1979,1777.53205
1980,2401.66749
1981,2677.37849
1982,2536.02425
1983,2323.22663
1984,2478.02673
1985,2578.28941
1986,2176.57264
1987,2373.88261
1988,2278.01017
1989,2568.8212
1990,2868.74276
1991,2729.03645
1992,2930.88725
1993,3247.83783
1994,3293.88111
1995,3479.08221
1996,4084.5702
1997,4031.87168
1998,3686.02056
1999,4230.94703
2000,5515.51373
2001,5328.3924
2002,5085.02283
2003,6369.76288
2004,7923.82049
2005,10263.14599
2006,11611.80107
2007,12194.18149
2008,14201.81124
2009,9269.94292
