years,data
1970,0.69899
1971,0.74345
1972,0.78894
1973,0.8496
1974,1.02682
1975,1.33547
1976,1.57486
1977,1.90975
1978,2.29674
1979,2.84664
1980,3.45493
1981,3.73685
1982,5.02931
1983,5.54293
1984,5.54232
1985,5.61962
1986,4.64444
1987,4.69905
1988,4.89351
1989,4.74789
1990,5.0071
1991,5.29609
1992,5.36718
1993,5.19035
1994,5.25193
1995,5.23257
1996,5.26061
1997,5.3698
1998,5.72354
1999,6.14073
2000,7.01915
2001,7.92528
2002,8.15103
2003,7.95093
2004,8.78758
2005,10.22937
2006,12.44676
2007,13.27909
2008,15.16543
2009,12.48615
