years,data
1970,0.331
1971,0.38434
1972,0.4386
1973,0.65335
1974,0.87436
1975,0.83959
1976,0.7042
1977,0.92667
1978,0.93033
1979,1.26764
1980,1.35424
1981,1.36513
1982,1.45704
1983,1.48277
1984,1.49632
1985,1.60511
1986,1.25906
1987,1.21623
1988,1.17891
1989,1.37971
1990,1.2087
1991,1.14047
1992,1.08131
1993,1.1193
1994,1.11532
1995,1.01605
1996,1.06118
1997,1.07743
1998,1.02273
1999,1.06032
2000,1.37185
2001,1.52539
2002,1.28023
2003,1.74388
2004,2.18323
2005,2.79162
2006,2.58037
2007,2.78425
2008,3.25562
2009,2.03782
