years,data
1970,23.50605
1971,32.16852
1972,43.80149
1973,76.29928
1974,126.07005
1975,129.82941
1976,139.31169
1977,227.21038
1978,226.5268
1979,374.78765
1980,398.71791
1981,489.3581
1982,496.40839
1983,429.58289
1984,477.70224
1985,580.31639
1986,489.16996
1987,535.45072
1988,668.95795
1989,657.50664
1990,694.24946
1991,709.18441
1992,711.11741
1993,704.73626
1994,733.91172
1995,647.93908
1996,696.12472
1997,745.62132
1998,751.48058
1999,809.92843
2000,1143.65747
2001,1290.07394
2002,1106.12168
2003,1502.79503
2004,2071.63721
2005,2529.33774
2006,2377.08459
2007,2761.37485
2008,3404.21188
2009,2029.09527
