years,data
1970,1.26983
1971,1.27013
1972,1.31236
1973,1.45762
1974,1.67819
1975,1.70035
1976,2.20558
1977,2.71896
1978,3.09425
1979,3.72692
1980,4.16037
1981,4.79571
1982,6.02364
1983,6.71279
1984,6.98745
1985,6.87754
1986,6.29082
1987,6.3378
1988,6.89206
1989,7.18999
1990,6.94347
1991,7.14041
1992,7.08787
1993,7.05577
1994,7.4648
1995,7.62371
1996,7.60685
1997,7.79872
1998,8.35862
1999,8.93219
2000,9.62186
2001,10.90378
2002,11.94602
2003,11.35238
2004,12.13503
2005,13.51027
2006,16.34696
2007,17.16751
2008,18.70898
2009,18.20211
