years,data
1970,492.98257
1971,538.40768
1972,600.85225
1973,724.38144
1974,971.75761
1975,1097.29899
1976,1236.28074
1977,1474.52452
1978,1633.70421
1979,2112.15329
1980,2736.69077
1981,3067.84425
1982,3018.19876
1983,2854.38482
1984,3024.68929
1985,3074.27358
1986,2572.46181
1987,2773.78515
1988,2738.48493
1989,2998.03825
1990,3320.54871
1991,3199.21841
1992,3400.46816
1993,3722.6018
1994,3813.14733
1995,3990.69631
1996,4589.42308
1997,4587.63206
1998,4321.45814
1999,4866.07044
2000,6222.69277
2001,6136.70832
2002,5938.95129
2003,7182.02756
2004,8878.11158
2005,11293.9829
2006,12875.12213
2007,13585.63907
2008,15633.34092
2009,10521.90235
