years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,239.07126
1972,579.59784
1973,159.6471
1974,232.82574
1975,231.3318
1976,374.70174
1977,447.72654
1978,461.87736
1979,436.71018
1980,424.27578
1981,172.79192
1982,271.90318
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,742.06487
1990,774.24921
1991,1236.60522
1992,1471.52112
1993,702.0479
1994,616.19476
1995,577.08743
1996,8886.49581
1997,9704.14517
1998,9758.31054
1999,9711.06648
2000,9571.84729
2001,2280.63901
2002,2342.97997
2003,2396.61272
2004,2586.13245
2005,2429.9661
2006,3221.06213
2007,3126.87019
2008,2852.65775
2009,2170.51386
