years,data
1970,0.0727
1971,1.44328
1972,7.4658
1973,44.43689
1974,86.67528
1975,75.38535
1976,72.40437
1977,98.55101
1978,57.63181
1979,83.31398
1980,29.20021
1981,6.43457
1982,4.73772
1983,17.57908
1984,15.51891
1985,3.39012
1986,0.05375
1987,1.47025
1988,0.34799
1989,2.5513
1990,0.21045
1991,0.32968
1992,0.23254
1993,0.35247
1994,3.15106
1995,0.22643
1996,0.56986
1997,0.01093
1998,0.0
1999,0.28058
2000,1.62076
2001,7.77578
2002,0.0
2003,0.0
2004,0.20649
2005,0.03256
2006,0.03111
2007,0.0
2008,0.0
2009,0.0
