years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,216.7584
1972,533.77842
1973,149.15958
1974,215.21982
1975,212.29608
1976,341.70156
1977,409.9896
1978,419.93586
1979,410.40882
1980,393.72276
1981,298.10058
1982,468.54042
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,950.87736
1990,984.84654
1991,953.22972
1992,979.20534
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
