years,data
1960,283128.7124
1961,304970.1483
1962,325085.2416
1963,348480.5723
1964,369844.6368
1965,375388.2934
1966,403592.3784
1967,414506.8362
1968,456148.2095
1969,498178.656
1970,520368.6596
1971,554170.7497
1972,616399.5685
1973,670066.2646
1974,676268.8086
1975,659994.6942
1976,691873.9875
1977,738867.2341
1978,747939.4264
1979,786391.503
1980,754458.4801
1981,787807.4911
1982,746359.9831
1983,757809.5964
1984,802483.4639
1985,842904.1719
1986,852825.6274
1987,865662.9164
1988,906309.9974
1989,943088.9157
1990,948729.9556
1991,957904.829
1992,983786.8105
1993,1003023.257
1994,1055167.913
1995,1086711.178
1996,1151353.612
1997,1187345.927
1998,1244252.893
1999,1288996.444
2000,1333438.288
2001,1336265.085
2002,1348219.941
2003,1365544.042
2004,1431808.905
2005,1478787.241
2006,1530533.748
2007,1571433.679
2008,1545075.838
2009,1454313.457
