years,data
1970,743.12157
1971,819.61578
1972,944.4813
1973,1136.69878
1974,1499.56234
1975,1794.39225
1976,2016.05976
1977,2415.81229
1978,2673.92293
1979,3369.85954
1980,4168.28971
1981,4690.12462
1982,4800.55518
1983,4772.23778
1984,5111.10623
1985,5455.67368
1986,5108.66553
1987,5438.23736
1988,5624.49967
1989,6028.3582
1990,6501.68115
1991,6448.64948
1992,6916.88072
1993,7367.16515
1994,7560.4176
1995,7691.06784
1996,8519.00251
1997,8606.8385
1998,8413.38688
1999,9036.29031
2000,10653.90114
2001,10662.30543
2002,10453.02126
2003,11887.54232
2004,13863.34052
2005,16698.38964
2006,18909.24173
2007,20175.18204
2008,22584.81309
2009,17539.30683
